                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 2.9738,                 2.2786,                 3.6465,                0.00181,                0.03448,                0.00131,                0.00059,                 3.9091,                 4.3021,                 4.2841,             0.00035164,             0.00035164,             0.00035164
                     73,                 3.1111,                 2.2862,                 3.6241,                0.00181,                0.03448,                0.00131,                0.00059,                 3.9091,                 4.3021,                 4.2841,             0.00034471,             0.00034471,             0.00034471
                     74,                 2.9491,                 2.1955,                 3.5695,                0.00181,                0.03448,                0.00131,                0.00059,                 3.9091,                 4.3021,                 4.2841,             0.00033745,             0.00033745,             0.00033745
                     75,                  3.105,                 2.2219,                 3.5626,                0.00224,                 0.0431,                  0.002,                0.00079,                  3.912,                  4.285,                 4.2809,             0.00032986,             0.00032986,             0.00032986
                     76,                 3.4502,                 2.1819,                 3.5036,                0.00224,                 0.0431,                  0.002,                0.00079,                  3.912,                  4.285,                 4.2809,             0.00032194,             0.00032194,             0.00032194
                     77,                  3.011,                 2.1311,                 3.5808,                0.00224,                 0.0431,                  0.002,                0.00079,                  3.912,                  4.285,                 4.2809,             0.00031369,             0.00031369,             0.00031369
                     78,                 3.0482,                 2.1478,                 3.5333,                0.00219,                 0.0431,                0.00204,                0.00076,                 3.9168,                 4.2657,                 4.2792,             0.00030511,             0.00030511,             0.00030511
                     79,                 3.1815,                 2.1447,                 3.5361,                0.00219,                 0.0431,                0.00204,                0.00076,                 3.9168,                 4.2657,                 4.2792,              0.0002962,              0.0002962,              0.0002962
                     80,                 3.1508,                 2.1105,                 3.5087,                0.00219,                 0.0431,                0.00204,                0.00076,                 3.9168,                 4.2657,                 4.2792,             0.00028696,             0.00028696,             0.00028696
                     81,                 2.9738,                 2.1244,                 3.5111,                0.00219,                 0.0431,                0.00312,                0.00102,                 3.9158,                 4.2573,                 4.2798,             0.00027739,             0.00027739,             0.00027739
                     82,                  2.946,                 2.1983,                 3.5706,                0.00219,                 0.0431,                0.00312,                0.00102,                 3.9158,                 4.2573,                 4.2798,             0.00026749,             0.00026749,             0.00026749
                     83,                 2.9713,                 2.0911,                 3.4552,                0.00219,                 0.0431,                0.00312,                0.00102,                 3.9158,                 4.2573,                 4.2798,             0.00025726,             0.00025726,             0.00025726
                     84,                 2.8659,                 2.0787,                 3.5409,                 0.0022,                 0.0431,                0.00327,                0.00112,                 3.9086,                 4.2464,                 4.2779,              0.0002467,              0.0002467,              0.0002467
                     85,                 2.8351,                 2.0692,                 3.4952,                 0.0022,                 0.0431,                0.00327,                0.00112,                 3.9086,                 4.2464,                 4.2779,             0.00023581,             0.00023581,             0.00023581
                     86,                 2.7827,                 2.0308,                 3.4782,                 0.0022,                 0.0431,                0.00327,                0.00112,                 3.9086,                 4.2464,                 4.2779,             0.00022459,             0.00022459,             0.00022459
                     87,                 2.8598,                 2.0521,                 3.4686,                 0.0022,                 0.0431,                0.00327,                0.00112,                 3.9086,                 4.2464,                 4.2779,             0.00021304,             0.00021304,             0.00021304
                     88,                 2.9229,                 2.0591,                 3.4565,                0.00222,                 0.0431,                0.00365,                0.00128,                 3.8917,                 4.2261,                 4.2684,             0.00020116,             0.00020116,             0.00020116
                     89,                 3.0538,                 2.0366,                 3.4087,                0.00222,                 0.0431,                0.00365,                0.00128,                 3.8917,                 4.2261,                 4.2684,             0.00018894,             0.00018894,             0.00018894
                     90,                 2.8428,                 2.0984,                 3.5182,                0.00222,                 0.0431,                0.00365,                0.00128,                 3.8917,                 4.2261,                 4.2684,              0.0001764,              0.0001764,              0.0001764
                     91,                 2.6811,                 2.1313,                 3.5668,                0.00222,                 0.0431,                0.00365,                0.00128,                 3.8917,                 4.2261,                 4.2684,             0.00016353,             0.00016353,             0.00016353
                     92,                 2.5981,                 2.0931,                 3.5009,                0.00222,                 0.0431,                0.00289,                0.00106,                 3.8839,                 4.2309,                 4.2717,             0.00015033,             0.00015033,             0.00015033
                     93,                  2.666,                 2.0884,                  3.544,                0.00222,                 0.0431,                0.00289,                0.00106,                 3.8839,                 4.2309,                 4.2717,              0.0001368,              0.0001368,              0.0001368
                     94,                 2.6652,                 2.1033,                  3.524,                0.00222,                 0.0431,                0.00289,                0.00106,                 3.8839,                 4.2309,                 4.2717,             0.00012294,             0.00012294,             0.00012294
                     95,                 2.5673,                 2.0529,                 3.4923,                0.00222,                 0.0431,                0.00289,                0.00106,                 3.8839,                 4.2309,                 4.2717,             0.00010875,             0.00010875,             0.00010875
                     96,                 2.5948,                 2.0246,                 3.4596,                0.00181,                0.03448,                0.00169,                0.00068,                 3.8894,                 4.2421,                 4.2838,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                   2.65,                  2.144,                  3.498,                0.00181,                0.03448,                0.00169,                0.00068,                 3.8894,                 4.2421,                 4.2838,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                 2.5953,                 1.9989,                 3.4592,                0.00181,                0.03448,                0.00169,                0.00068,                 3.8894,                 4.2421,                 4.2838,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                 2.5824,                 2.0602,                 3.4403,                0.00181,                0.03448,                0.00169,                0.00068,                 3.8894,                 4.2421,                 4.2838,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                 2.6897,                  2.083,                 3.5088,                0.00217,                0.03448,                0.00137,                0.00056,                 3.8997,                 4.2388,                 4.2915,             3.2842e-05,             3.2842e-05,             3.2842e-05
